# Total number neurons: 4000
# Local number neurons: 1000
# Number MPI ranks: 4
# Current simulation step: 1003
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 1	0 323	1	1
0 1	0 105	1	1
0 1	2 982	1	1
0 1	1 255	1	1
0 1	1 89	1	1
0 1	2 821	1	1
0 1	1 640	1	1
0 1	2 746	1	1
0 1	1 205	1	1
0 1	1 594	1	1
0 1	2 651	1	1
0 1	3 939	1	1
0 1	1 677	1	1
0 1	3 765	1	1
0 1	2 7	1	1
0 1	2 567	1	1
0 1	3 914	1	1
0 2	0 793	1	1
0 2	0 974	1	1
0 2	0 9	1	1
0 2	0 320	1	1
0 2	0 322	1	1
0 2	0 183	1	1
0 2	2 573	1	1
0 2	1 573	1	1
0 2	3 812	1	1
0 2	2 371	1	1
0 2	2 347	1	1
0 2	2 675	1	1
0 2	2 801	1	1
0 2	3 423	1	1
0 2	2 406	1	1
0 2	1 931	1	1
0 2	3 313	1	1
0 3	0 629	1	1
0 3	0 994	1	1
0 3	0 169	1	1
0 3	2 891	1	1
0 3	1 429	1	1
0 3	2 218	1	1
0 3	3 45	1	1
0 3	3 155	1	1
0 3	3 977	1	1
0 3	2 462	1	1
0 3	1 980	1	1
0 3	3 395	1	1
0 3	2 310	1	1
0 3	2 544	1	1
0 3	2 235	1	1
0 3	1 748	1	1
0 3	3 461	1	1
0 4	0 79	1	1
0 4	0 310	1	1
0 4	0 479	1	1
0 4	0 613	1	1
0 4	3 884	1	1
0 4	2 478	1	1
0 4	1 213	1	1
0 4	1 471	1	1
0 4	2 731	1	1
0 4	1 917	1	1
0 4	1 589	1	1
0 4	2 980	1	1
0 4	3 566	1	1
0 4	1 772	1	1
0 4	2 916	1	1
0 4	2 375	1	1
0 4	1 760	1	1
0 5	0 460	1	1
0 5	0 254	1	1
0 5	2 664	1	1
0 5	2 854	1	1
0 5	1 730	1	1
0 5	2 816	1	1
0 5	1 203	1	1
0 5	2 78	1	1
0 5	1 570	1	1
0 5	1 305	1	1
0 5	1 221	1	1
0 5	3 628	1	1
0 5	1 304	1	1
0 5	1 690	1	1
0 5	3 383	1	1
0 5	3 754	1	1
0 5	1 464	1	1
0 6	0 758	1	1
0 6	0 766	1	1
0 6	0 125	1	1
0 6	0 616	1	1
0 6	0 29	1	1
0 6	0 773	1	1
0 6	2 305	1	1
0 6	2 131	1	1
0 6	2 913	1	1
0 6	1 396	1	1
0 6	3 944	1	1
0 6	3 375	1	1
0 6	1 386	1	1
0 6	1 303	1	1
0 6	3 939	1	1
0 6	3 396	1	1
0 6	1 164	1	1
0 7	0 346	1	1
0 7	0 614	1	1
0 7	0 459	1	1
0 7	0 525	1	1
0 7	0 905	1	1
0 7	1 220	1	1
0 7	1 830	1	1
0 7	2 528	1	1
0 7	2 368	1	1
0 7	2 49	1	1
0 7	2 112	1	1
0 7	2 880	1	1
0 7	2 997	1	1
0 7	2 844	1	1
0 7	1 810	1	1
0 7	3 566	1	1
0 7	2 876	1	1
0 8	0 216	1	1
0 8	0 459	1	1
0 8	0 242	1	1
0 8	0 88	1	1
0 8	0 406	1	1
0 8	0 785	1	1
0 8	2 132	1	1
0 8	3 926	1	1
0 8	1 195	1	1
0 8	1 249	1	1
0 8	2 54	1	1
0 8	2 876	1	1
0 8	1 327	1	1
0 8	1 397	1	1
0 8	3 417	1	1
0 8	1 244	1	1
0 8	3 19	1	1
0 9	0 244	1	1
0 9	0 297	1	1
0 9	0 381	1	1
0 9	0 67	1	1
0 9	1 49	1	1
0 9	2 838	1	1
0 9	1 565	1	1
0 9	1 856	1	1
0 9	2 583	1	1
0 9	3 812	1	1
0 9	3 864	1	1
0 9	2 802	1	1
0 9	3 174	1	1
0 9	1 625	1	1
0 9	1 928	1	1
0 9	1 442	1	1
0 9	1 677	1	1
0 10	0 710	1	1
0 10	0 345	1	1
0 10	0 44	1	1
0 10	0 585	1	1
0 10	0 719	1	1
0 10	3 89	1	1
0 10	3 616	1	1
0 10	2 567	1	1
0 10	3 721	1	1
0 10	1 284	1	1
0 10	1 184	1	1
0 10	3 883	1	1
0 10	2 899	1	1
0 10	1 65	1	1
0 10	2 321	1	1
0 10	3 427	1	1
0 10	1 700	1	1
0 11	0 361	1	1
0 11	0 700	1	1
0 11	0 445	1	1
0 11	0 993	1	1
0 11	0 250	1	1
0 11	0 442	1	1
0 11	0 402	1	1
0 11	3 856	1	1
0 11	3 709	1	1
0 11	2 774	1	1
0 11	1 33	1	1
0 11	3 964	1	1
0 11	3 416	1	1
0 11	1 648	1	1
0 11	1 527	1	1
0 11	3 26	1	1
0 11	2 413	1	1
0 12	0 387	1	1
0 12	0 420	1	1
0 12	0 4	1	1
0 12	0 436	1	1
0 12	0 651	1	1
0 12	2 356	1	1
0 12	2 861	1	1
0 12	3 659	1	1
0 12	3 653	1	1
0 12	2 486	1	1
0 12	1 184	1	1
0 12	3 909	1	1
0 12	3 213	1	1
0 12	1 647	1	1
0 12	3 412	1	1
0 12	1 978	1	1
0 12	2 72	1	1
0 13	0 731	1	1
0 13	0 603	1	1
0 13	0 919	1	1
0 13	0 227	1	1
0 13	0 472	1	1
0 13	3 769	1	1
0 13	1 680	1	1
0 13	1 778	1	1
0 13	1 914	1	1
0 13	3 110	1	1
0 13	1 823	1	1
0 13	2 727	1	1
0 13	3 976	1	1
0 13	1 429	1	1
0 13	2 266	1	1
0 13	3 260	1	1
0 13	3 339	1	1
0 14	0 844	1	1
0 14	0 205	1	1
0 14	0 245	1	1
0 14	0 129	1	1
0 14	1 119	1	1
0 14	2 26	1	1
0 14	1 883	1	1
0 14	1 876	1	1
0 14	3 15	1	1
0 14	1 507	1	1
0 14	1 368	1	1
0 14	3 983	1	1
0 14	1 684	1	1
0 14	3 399	1	1
0 14	2 766	1	1
0 14	1 300	1	1
0 14	2 740	1	1
0 15	0 915	1	1
0 15	0 845	1	1
0 15	0 593	1	1
0 15	0 296	1	1
0 15	0 61	1	1
0 15	0 324	1	1
0 15	0 921	1	1
0 15	0 154	1	1
0 15	2 707	1	1
0 15	3 712	1	1
0 15	1 812	1	1
0 15	1 251	1	1
