# Total number neurons: 40000
# Local number neurons: 5000
# Number MPI ranks: 8
# Current simulation step: 2002
# <target rank> <target neuron id>	<source rank> <source neuron id>	<weight>	<plastic>
0 2780	3 1	1	1
1 416	3 1	1	1
1 3507	3 1	1	1
4 2267	3 1	1	1
4 652	3 1	1	1
7 2836	3 1	1	1
5 1736	3 2	1	1
5 3425	3 2	1	1
5 3490	3 2	1	1
6 4551	3 2	1	1
6 2345	3 2	1	1
6 4341	3 2	1	1
3 3157	3 3	1	1
0 3126	3 3	1	1
2 1640	3 3	1	1
4 3170	3 3	1	1
5 2044	3 3	1	1
6 149	3 3	1	1
3 3708	3 4	1	1
2 3957	3 4	1	1
2 836	3 4	1	1
2 4071	3 4	1	1
6 1391	3 4	1	1
5 149	3 4	1	1
1 3279	3 5	1	1
2 849	3 5	1	1
2 1794	3 5	1	1
6 1527	3 5	1	1
7 1154	3 5	1	1
1 3512	3 5	1	1
3 1198	3 6	1	1
2 544	3 6	1	1
2 2725	3 6	1	1
4 3257	3 6	1	1
4 3700	3 6	1	1
0 3455	3 6	1	1
3 2282	3 7	1	1
0 2978	3 7	1	1
1 2336	3 7	1	1
1 2074	3 7	1	1
4 2459	3 7	1	1
4 3032	3 7	1	1
0 2574	3 8	1	1
0 1860	3 8	1	1
1 943	3 8	1	1
5 4491	3 8	1	1
6 3544	3 8	1	1
7 1197	3 8	1	1
0 545	3 9	1	1
2 3022	3 9	1	1
6 3968	3 9	1	1
6 15	3 9	1	1
7 3071	3 9	1	1
5 4285	3 9	1	1
1 2608	3 10	1	1
4 1506	3 10	1	1
4 4179	3 10	1	1
5 3977	3 10	1	1
7 4836	3 10	1	1
0 2594	3 10	1	1
0 4630	3 11	1	1
1 4666	3 11	1	1
2 1484	3 11	1	1
4 185	3 11	1	1
6 1128	3 11	1	1
7 3231	3 11	1	1
3 3940	3 12	1	1
2 1419	3 12	1	1
2 3300	3 12	1	1
4 1374	3 12	1	1
5 2677	3 12	1	1
7 477	3 12	1	1
3 2568	3 13	1	1
3 4932	3 13	1	1
0 358	3 13	1	1
4 145	3 13	1	1
5 140	3 13	1	1
7 4572	3 13	1	1
3 1442	3 14	1	1
0 4050	3 14	1	1
1 2104	3 14	1	1
4 1122	3 14	1	1
6 2815	3 14	1	1
1 509	3 14	1	1
3 4229	3 15	1	1
3 26	3 15	1	1
1 3323	3 15	1	1
7 214	3 15	1	1
7 3620	3 15	1	1
2 2433	3 15	1	1
3 4528	3 16	1	1
3 1338	3 16	1	1
0 4725	3 16	1	1
4 4344	3 16	1	1
5 1243	3 16	1	1
6 3746	3 16	1	1
3 1345	3 17	1	1
0 2719	3 17	1	1
5 600	3 17	1	1
7 2139	3 17	1	1
2 1128	3 17	1	1
4 970	3 17	1	1
0 4582	3 18	1	1
1 3360	3 18	1	1
1 4797	3 18	1	1
2 2439	3 18	1	1
6 1807	3 18	1	1
7 4006	3 18	1	1
0 4497	3 19	1	1
5 2359	3 19	1	1
7 2887	3 19	1	1
7 1211	3 19	1	1
7 3533	3 19	1	1
7 4307	3 19	1	1
3 481	3 20	1	1
2 2132	3 20	1	1
7 306	3 20	1	1
7 2128	3 20	1	1
1 2675	3 20	1	1
6 595	3 20	1	1
3 168	3 21	1	1
2 2554	3 21	1	1
4 1369	3 21	1	1
7 679	3 21	1	1
7 549	3 21	1	1
5 825	3 21	1	1
2 3206	3 22	1	1
4 3011	3 22	1	1
5 2368	3 22	1	1
5 1930	3 22	1	1
2 4063	3 22	1	1
7 3266	3 22	1	1
0 4884	3 23	1	1
4 4244	3 23	1	1
5 3813	3 23	1	1
7 2432	3 23	1	1
1 1098	3 23	1	1
2 373	3 23	1	1
0 3557	3 24	1	1
2 2753	3 24	1	1
5 476	3 24	1	1
6 3525	3 24	1	1
