# 5000 of 40000
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 36
# Maximum y: 36
# Maximum z: 36
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (-0, 18, 18) - (18, 36, 36)
1 7.93043176922947 25.0609619156457 19.7910092840903 ex
2 13.2655382128432 18.6858081335668 26.6020488094073 ex
3 2.52373777539469 22.2715628226288 27.8109834128991 ex
4 12.362625917187 24.5213663012255 35.1060444863979 ex
5 13.0207582670264 28.2101001986302 22.2740459332708 ex
6 5.77890600520186 24.9358897884376 20.5058948651422 ex
7 0.0834848510567099 30.3313831230626 34.4160585796926 ex
8 16.6173784115817 30.9037691326812 30.8036590218544 ex
9 3.92076869006269 35.6580826451536 23.1850882226136 ex
10 14.3807069472969 25.8367548442911 32.5569861945696 ex
11 6.29330571671017 29.6078420085832 31.2736357904505 ex
12 17.9654119883198 20.5434141431469 33.7241362438072 ex
13 16.9145196911413 31.691074837232 25.7738984746393 ex
14 13.2790359335486 20.987850025529 25.6012503961101 ex
15 9.5621252018027 22.9920172535349 19.5905603277497 ex
16 12.5237430504058 31.6762054318096 31.6737016905099 ex
17 15.4957623474766 30.648460192373 34.3652246503625 ex
18 4.19465362979099 25.2180633852258 25.7982874547597 ex
19 7.75109128397889 20.5058453476522 31.5316594643518 ex
20 0.400031978962943 31.2837400950957 32.9750199173577 ex
21 16.1197873274796 23.9680158200208 33.9226025913376 ex
22 11.0371834635735 31.1394552611746 23.9967078974005 ex
23 4.21937721525319 33.8711569006555 30.3726104833186 ex
24 15.5573084228672 28.5326155843213 34.739902720321 ex
25 0.427742460509762 27.6032170183025 20.3398206736892 ex
26 5.62721915845759 26.501109196106 28.7805123683065 ex
27 7.82686254242435 24.0338888007682 34.6891577404458 ex
28 1.54756002151407 29.8280448690057 33.5976726301014 ex
29 8.80048891040497 28.2642319526058 32.9242509396281 ex
30 3.72546255565248 23.5090076921042 20.4479833093937 ex
31 0.786917275050655 18.2291085571051 33.359364125412 ex
32 5.48434539628215 23.9446264915168 22.7814967448357 ex
33 13.9360969394911 27.3027022832539 35.2654581759125 ex
34 13.0985495746136 32.7743813274428 18.872721437132 ex
35 2.85587276169099 32.3893200333696 18.0156801436096 ex
36 8.5713087299373 28.1309766543563 33.5421142624691 ex
37 8.94919352955185 21.8276100209914 28.9780552983284 ex
38 16.7992841983214 32.3062609166373 26.1283434755169 ex
39 16.6515539158136 21.5905836648308 31.6236506658606 ex
40 14.0754946612287 19.9013899904676 30.7511466010474 ex
41 5.80680815223604 32.2219659355469 25.5061719713267 ex
42 7.42641592980362 23.1356306276284 30.8891455896664 ex
43 7.55030204029754 32.5212846398354 21.64649944962 ex
44 5.94713387801312 30.4440679296385 18.7659849056508 ex
45 14.9946008359548 35.082389931893 28.8256729266141 ex
46 4.62497858679853 18.4782691728324 31.4476369593758 ex
47 17.0906820190139 18.0527676579077 26.8142049130984 ex
48 3.79895659349859 25.289004402468 21.6764449239708 ex
49 8.80263812025078 18.5474733111914 35.4735524856951 ex
50 15.5411249909084 32.6287014384288 30.4271222262178 ex
51 14.5139362795744 18.36811995483 32.4974519766401 ex
52 7.76386965601705 25.8796307947487 28.9802245590836 ex
53 2.10024231183343 22.4527323220391 20.3401988968253 ex
54 16.5119110601954 30.2538221711293 24.6258376492187 ex
55 4.72278533317149 31.5588269173168 24.9474146969151 ex
56 17.7033635666594 30.211067854194 23.9791679468472 ex
57 17.988951228559 24.0976935422514 22.434971208917 ex
58 2.03966558515094 33.5947631313466 34.4781057068612 ex
59 2.5972333510872 34.0424157965463 26.1648578606546 ex
60 2.29246875899844 31.8946230134461 22.8178568710573 ex
61 15.9298015928362 21.666442777263 35.8877664173488 ex
62 1.44268964766525 32.2215537703596 18.3366444436833 ex
63 6.56280049541965 29.5951013162266 19.8036679718643 ex
64 17.674634677358 31.5579891032539 18.4035917001311 ex
65 3.75417095189914 22.5868397683371 20.9516422059387 ex
66 0.665787836769596 23.8929163175635 23.9325429843739 ex
67 3.08479885174893 19.6703849676996 34.1698423672933 ex
68 1.11984414840117 18.2204435528256 26.7349517513067 ex
69 3.22456726501696 30.3264816917945 18.2176147224382 ex
70 12.9930651937611 20.8155179538298 20.0891172627453 ex
71 17.887172012357 31.8947562889662 28.8183122293558 ex
