# 5000 of 40000
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 36
# Maximum y: 36
# Maximum z: 36
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (18, 18, 18) - (36, 36, 36)
1 30.6917823203839 33.8293673088774 32.470801854739 ex
2 27.1282964192796 29.7146044683177 25.8446732228622 ex
3 29.6525640203618 35.5143268408719 29.9477950595319 ex
4 28.603284498211 23.3564947547857 30.0784375097137 ex
5 22.6998873718549 35.0942043175455 34.2216418308672 ex
6 19.1927508390509 31.1177519955672 35.8990465931129 ex
7 18.217212903779 24.8474568640813 30.5346617905889 ex
8 35.8341790358536 25.7859242139384 22.3433528449386 ex
9 22.1741519991774 22.4992488508578 30.7030830280855 ex
10 32.0087676718831 32.1324706736486 30.7724775082897 ex
11 28.3969810002018 27.9443242601119 30.1590075993445 ex
12 31.3048116581049 18.7774271182716 35.5557290839497 ex
13 22.4895785890985 23.1461065919138 33.1070930629503 ex
14 21.0440714205615 27.4506043831352 33.1817660338711 ex
15 24.3131997806486 35.2912171350326 19.9833325545769 ex
16 26.3784952014685 21.1806232247036 26.6996920811944 ex
17 31.9860079037026 34.2471126958262 22.2263652593829 ex
18 30.3176877037622 34.28196027386 21.3478639058303 ex
19 30.7706333587412 29.6956105916761 18.8593233355787 ex
20 29.0578406045679 31.277744888328 32.0094643083867 ex
21 29.2815786367282 32.5382185101043 30.8345273546875 ex
22 25.0203717937693 31.1224020482041 22.9732318811584 ex
23 33.1632244912907 27.7734910605941 27.8322835811414 ex
24 35.3432798928116 24.4807938039303 21.4932044900488 ex
25 35.6600890434347 29.469767207047 21.6708823810332 ex
26 26.4896301252302 34.197204854805 31.2482614454348 ex
27 27.7925156543497 29.3240201349836 22.4373985263519 ex
28 20.1018935972825 26.1560107106343 23.2507241331041 ex
29 25.1774486380164 21.9534559003077 22.1132113812491 ex
30 21.3696907155681 33.5412076322827 30.4806081182323 ex
31 21.1319158060942 23.2743967380375 21.6753532283474 ex
32 32.9684140803292 19.0365707247984 32.01183385076 ex
33 25.0986249463167 32.3991751680151 30.4865203993395 ex
34 23.248428161256 18.8887524798047 28.5048393779434 ex
35 30.9627329877112 33.1062131028157 26.7037240520585 ex
36 18.9760444501881 33.249643366551 34.4335471491795 ex
37 23.1575395376422 28.1467681704089 30.1873094523326 ex
38 34.1958714753855 32.8155014452059 30.6301621431485 ex
39 27.7304650209844 26.8516778594349 25.7682495717891 ex
40 21.3839505012147 31.746282242937 34.0042614038102 ex
41 27.4950547993649 30.3705981553067 32.3904875402804 ex
42 23.4204793008976 25.8456208894495 22.3128097611479 ex
43 18.7734515471384 29.0547737255692 31.6931822814513 ex
44 22.2663467982784 23.5821519247256 19.0110870832577 ex
45 29.4673112900928 20.6783750203904 22.9665688271634 ex
46 32.9866240846459 28.5267189464066 35.8498894092627 ex
47 34.5064218768384 31.6014782791026 31.907114996342 ex
48 29.8748162027914 28.1344176908024 22.0663986410946 ex
49 18.1983282985166 19.0344089635182 29.7568989559077 ex
50 19.3656063810922 34.8458966517355 19.1230771960691 ex
51 26.3604523150716 31.1019307484385 27.1252052425407 ex
52 29.9291856205091 18.8441416583955 29.5519314808771 ex
53 30.0682460705284 34.7731175199151 18.8723413059488 ex
54 26.5971472228412 21.948618594557 34.0675378555898 ex
55 22.0438368981704 21.0989958399441 27.9980663179886 ex
56 18.0138053325936 27.3682295142207 30.7511619408615 ex
57 19.2011140279938 20.3745630499907 31.6559397198725 ex
58 26.1866554266308 28.9092070492916 23.5020241544116 ex
59 22.6211379088927 33.3304108115844 34.0578505862504 ex
60 18.2905126183759 21.4102178625762 24.4304204683285 ex
61 25.7464792663231 18.4781921305694 28.3078646948561 ex
62 34.6973610515706 27.7098918559495 29.1396916261874 ex
63 35.630960382754 20.5047654164955 20.273536039982 ex
64 26.5512255323119 31.3845057794824 18.1277307439595 ex
65 24.5496908340137 28.7233929217327 24.0553341002669 ex
66 27.8784075297881 25.0734351738356 19.6060303803533 ex
67 22.6313414128963 31.952500035055 24.6851398863364 ex
68 35.251294092508 21.3869038110133 33.4513127901591 ex
69 25.9421525548678 20.2489128606394 30.7028855872341 ex
70 33.877376610646 22.360361485742 33.6210804057773 ex
71 34.8897703245748 27.9814427983947 26.3256305039395 ex
72 19.386644842336 32.605759668164 25.8649706821889 ex
73 33.1402251441032 20.7097031250596 24.7093843515031 ex
74 19.1386149467435 33.3788009649143 27.9927248097956 ex
75 27.9805899653584 19.1853325173724 27.777469136985 ex
76 31.5078170921188 26.8566817967221 33.4226478338242 ex
77 35.0131945712492 31.0439836485311 24.1339056647848 ex
78 31.497270099353 35.1466895479243 26.1294006498065 ex
79 31.2496714571025 28.8129620132968 21.05609537079 ex
80 33.5046910911333 20.4654171832372 22.4612297222484 ex
81 27.713055487955 21.8768709353171 27.0843348279595 ex
82 35.8210079642013 18.767191900406 27.4927261555567 ex
83 35.6600934441667 34.8859862922691 27.1927999532782 ex
84 22.174366081832 21.5724408009555 19.9190498744138 ex
85 23.7195269789081 35.2575213992968 31.5547462604009 ex
86 33.4180829066318 27.3844745606184 31.4600568523165 ex
87 18.1355080052745 26.0971296457574 27.339125598548 ex
88 35.117132908199 23.3273126424756 21.3768984624185 ex
89 29.6597800066229 22.0527527385857 21.5680475607514 ex
90 30.8747537198942 34.4973336171824 31.0556595178787 ex
91 33.7653334126808 23.2621990360785 22.6165465246886 ex
92 26.5862939634826 31.6401725187898 30.2392644672655 ex
93 28.2242207203526 34.8611483131535 27.7887575426139 ex
94 25.9900342922192 26.8850591031369 20.1725905404892 ex
95 24.586860034382 31.1819607010111 27.5038915125187 ex
96 22.5284299689811 24.6681982690934 34.0937993677799 ex
97 19.5248813552316 35.1431410447694 33.878985124873 ex
98 27.7002942981198 19.3387517477386 34.1270367810503 ex
99 18.7644247482531 18.9891015603207 29.8661740329117 ex
100 20.037764585577 32.0766258917283 27.9223662631121 ex
101 20.430526571814 23.1954995193519 21.7487197271548 ex
102 23.4426213342231 19.9356879161205 26.8207539254799 ex
103 21.7820498896763 32.5390254252125 35.4178514266387 ex
104 31.6084844202269 23.1142565032933 34.5302938967943 ex
105 24.5041731798556 26.784475278575 26.2112524425611 ex
106 24.4117847685702 35.7290256605484 30.4620298254304 ex
107 18.6334773930721 23.8376888274215 31.8703134292737 ex
108 23.9730812970083 21.6921247281134 30.1403155960143 ex
109 20.2575803636573 33.1726183241699 23.4980266904458 ex
110 24.0872625634074 34.4440829872619 20.1430501323193 ex
111 19.4424691158347 22.2907470515929 28.9957858065609 ex
112 19.6981491572224 33.0402429297101 26.6033911376726 ex
113 27.4882543443237 35.1082847281359 35.3114896935876 ex
114 30.6809921690729 33.8725636368617 27.8741989939008 ex
115 24.1934354037512 26.5211150227115 30.4252270173747 ex
116 20.9013099111617 34.5597986569628 26.730969090946 ex
117 25.691528763622 34.0186136385892 19.8016575593501 ex
118 32.5552366129123 32.2317006846424 21.0086141105276 ex
119 22.7459596775007 29.8632136078086 29.9989094978664 ex
120 23.1876768735237 24.8621746296994 18.0448814171832 ex
121 22.9160570837557 25.3606968529057 31.3047659180593 ex
122 32.1553492569365 33.009405158693 31.9384689291473 ex
123 20.6475406696554 35.1474851060193 19.6143609501887 ex
124 31.8270252812654 18.6293061040342 31.8199564325623 ex
125 34.6909102539066 22.9896446000785 18.189632916823 ex
126 33.5972420440521 21.7703863256611 28.7213095957413 ex
127 28.122118485393 25.8886839475017 33.0581051623449 ex
128 35.446446233429 35.7824944439344 31.199773702072 ex
129 31.183574110968 19.2333055289928 24.6647305104416 ex
130 22.9585473977495 20.5905212878715 21.6200969286729 ex
131 29.4909952534363 19.8459095286671 21.2023776154965 ex
132 25.7440386968665 25.1085189960431 27.1290226385463 ex
133 34.5458984680008 28.5483381079976 32.2002972082701 ex
134 33.7788813889492 24.5875679049641 32.2729571792297 ex
135 23.2991615149658 20.2051637854893 29.5464876806363 ex
136 26.66227961611 27.2078039478511 19.8795557741541 ex
137 23.1911218333989 34.5944952007849 33.945331107825 ex
138 22.3192515890114 22.5709331477992 32.2802357336041 ex
139 27.4465189564507 20.2742527287919 20.3726599181537 ex
140 18.1340756849386 34.8779748775996 33.4508723362815 ex
141 28.40168773802 32.6261085928418 27.8661795107182 ex
142 22.9734517449979 19.2105534123257 26.4759272842202 ex
143 22.7362788675819 34.6166277162265 32.5889077840839 ex
144 33.3379271274898 25.6615061308257 21.5793565092608 ex
145 26.0555133770686 22.4281604853459 32.6827389390673 ex
146 25.878739700187 31.0126065884251 32.8376048959326 ex
147 32.4759397602174 22.4758765713777 28.5389974068385 ex
148 30.9209857359529 21.0911223567091 18.9282125951722 ex
149 32.3501716307364 19.5734823092353 19.6521841255017 ex
150 25.3649788808543 33.5232553326059 18.9632778428495 ex
151 32.5163702229038 34.6375912455842 29.6627479295712 ex
152 35.9249027715996 25.6206622631289 28.0287511914503 ex
153 22.3312119389884 35.6537126200274 23.5842140563764 ex
154 34.3048057171982 19.7214101988357 22.8482594606467 ex
155 33.0196101169568 34.3739316703286 34.6682654465549 ex
156 35.129750798922 35.5686268424615 19.0184006025083 ex
157 35.2724214352202 19.2697253797669 20.6150621436536 ex
